index,column1,column2
0.4684445197920615,0.019190386659881264,0.0252165701416055
0.646564360121931,0.191513949747102,0.1761019609630864
0.06384603882851991,0.1714817239449351,0.45330810813981204
0.12837465702832884,0.8287513525576334,0.8847441962771339
0.7357134818546714,0.3681960715763315,0.4747480825720436
0.5291551825686992,0.15570400870404355,0.8365259583783241
0.8915821604330089,0.48971024902775784,0.024738182425773525
0.021935232100229962,0.6639250438016735,0.7255694655723156
0.8603982596122861,0.21083701048937797,0.8716539236344384
0.8457998286325391,0.5834960726376484,0.6875039470044556
